inj_id,layer_injected,weight_coords,bit_to_change,desired_size,top_one_correct,masked,non_critical,critical
64,conv_proj.weight, 135  1  14  8 ,29,1101,1035,0,1101,0
65,conv_proj.weight, 404  0  2  13 ,30,1101,25,0,26,1075
66,conv_proj.weight, 541  1  9  4 ,10,1101,1035,0,1101,0
67,conv_proj.weight, 732  1  14  12 ,17,1101,1035,0,1101,0
68,conv_proj.weight, 158  2  12  0 ,12,1101,1035,0,1101,0
69,conv_proj.weight, 96  0  5  10 ,7,1101,1035,0,1101,0
70,conv_proj.weight, 38  2  7  1 ,7,1101,1035,0,1101,0
71,conv_proj.weight, 84  0  3  10 ,20,1101,1035,0,1101,0
72,conv_proj.weight, 257  2  13  1 ,29,1101,1035,0,1101,0
73,conv_proj.weight, 712  2  15  14 ,1,1101,1035,0,1101,0
74,conv_proj.weight, 110  0  7  0 ,19,1101,1035,0,1101,0
75,conv_proj.weight, 103  2  5  1 ,26,1101,1033,0,1099,2
76,conv_proj.weight, 257  0  15  0 ,6,1101,1035,0,1101,0
77,conv_proj.weight, 199  0  4  15 ,21,1101,1035,0,1101,0
78,conv_proj.weight, 586  1  1  12 ,2,1101,1035,0,1101,0
79,conv_proj.weight, 0  0  3  6 ,21,1101,1035,0,1101,0
80,conv_proj.weight, 442  0  15  15 ,26,1101,1036,0,1100,1
81,conv_proj.weight, 731  0  13  8 ,3,1101,1035,0,1101,0
82,conv_proj.weight, 642  0  15  7 ,21,1101,1035,0,1101,0
83,conv_proj.weight, 115  1  4  12 ,31,1101,1035,0,1101,0
84,conv_proj.weight, 550  0  10  0 ,29,1101,1035,0,1101,0
85,conv_proj.weight, 729  0  11  2 ,22,1101,1035,0,1101,0
86,conv_proj.weight, 419  0  11  15 ,3,1101,1035,0,1101,0
87,conv_proj.weight, 740  2  0  10 ,17,1101,1035,0,1101,0
88,conv_proj.weight, 743  1  14  12 ,0,1101,1035,0,1101,0
89,conv_proj.weight, 200  1  1  5 ,4,1101,1035,0,1101,0
90,conv_proj.weight, 237  0  5  9 ,4,1101,1035,0,1101,0
91,conv_proj.weight, 547  0  14  15 ,11,1101,1035,0,1101,0
92,encoder.layers.encoder_layer_0.ln_1.weight,53,19,1101,1035,0,1101,0
93,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 685  539 ,24,1101,1035,0,1101,0
94,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 614  515 ,26,1101,1035,0,1101,0
95,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 656  627 ,28,1101,1035,0,1101,0
96,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 19  156 ,2,1101,1035,0,1101,0
97,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 13  557 ,6,1101,1035,0,1101,0
98,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 63  309 ,26,1101,1036,0,1100,1
99,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 495  690 ,18,1101,1035,0,1101,0
100,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 449  66 ,31,1101,1035,0,1101,0
101,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 658  680 ,12,1101,1035,0,1101,0
102,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 98  167 ,14,1101,1035,0,1101,0
103,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 127  229 ,23,1101,1035,0,1101,0
104,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 486  198 ,10,1101,1035,0,1101,0
105,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 509  89 ,8,1101,1035,0,1101,0
106,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 85  269 ,22,1101,1035,0,1101,0
107,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 485  161 ,31,1101,1035,0,1101,0
108,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 554  614 ,16,1101,1035,0,1101,0
109,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 70  558 ,1,1101,1035,0,1101,0
110,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 529  632 ,3,1101,1035,0,1101,0
111,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 539  674 ,12,1101,1035,0,1101,0
112,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 76  135 ,2,1101,1035,0,1101,0
113,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 0  315 ,13,1101,1035,0,1101,0
114,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 29  203 ,24,1101,1035,0,1101,0
115,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 10  47 ,3,1101,1035,0,1101,0
116,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 28  256 ,31,1101,1035,0,1101,0
117,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 92  548 ,15,1101,1035,0,1101,0
118,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 98  223 ,5,1101,1035,0,1101,0
119,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 578  4 ,16,1101,1035,0,1101,0
120,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 389  291 ,24,1101,1035,0,1101,0
121,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 276  543 ,17,1101,1035,0,1101,0
122,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 566  366 ,16,1101,1035,0,1101,0
123,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 656  527 ,8,1101,1035,0,1101,0
124,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 578  141 ,2,1101,1035,0,1101,0
125,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 714  742 ,15,1101,1035,0,1101,0
126,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 671  374 ,10,1101,1035,0,1101,0
127,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 723  59 ,24,1101,1035,0,1101,0
128,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 97  234 ,30,1101,41,0,41,1060
129,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 604  428 ,11,1101,1035,0,1101,0
130,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 225  209 ,17,1101,1035,0,1101,0
131,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 593  194 ,15,1101,1035,0,1101,0
132,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 690  479 ,27,1101,1035,0,1101,0
133,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 364  538 ,29,1101,1035,0,1101,0
134,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 474  502 ,9,1101,1035,0,1101,0
135,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 483  440 ,25,1101,1035,0,1101,0
136,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 525  719 ,22,1101,1035,0,1101,0
137,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 465  75 ,12,1101,1035,0,1101,0
138,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 532  165 ,22,1101,1035,0,1101,0
139,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 655  519 ,12,1101,1035,0,1101,0
140,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 574  748 ,12,1101,1035,0,1101,0
141,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 343  659 ,2,1101,1035,0,1101,0
142,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 195  533 ,24,1101,1035,0,1101,0
143,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 183  12 ,28,1101,1035,0,1101,0
144,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 9  336 ,11,1101,1035,0,1101,0
145,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 420  720 ,24,1101,1035,0,1101,0
146,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 322  455 ,27,1101,1035,0,1101,0
147,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 353  533 ,0,1101,1035,0,1101,0
148,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 494  532 ,19,1101,1035,0,1101,0
149,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 358  479 ,3,1101,1035,0,1101,0
150,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 636  108 ,18,1101,1035,0,1101,0
151,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 250  150 ,29,1101,1035,0,1101,0
152,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 132  157 ,13,1101,1035,0,1101,0
153,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 396  649 ,5,1101,1035,0,1101,0
154,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 256  147 ,10,1101,1035,0,1101,0
155,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 116  541 ,5,1101,1035,0,1101,0
156,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 426  189 ,7,1101,1035,0,1101,0
157,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 43  449 ,10,1101,1035,0,1101,0
158,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 224  654 ,22,1101,1035,0,1101,0
159,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 604  329 ,1,1101,1035,0,1101,0
160,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 500  216 ,4,1101,1035,0,1101,0
161,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 690  376 ,22,1101,1035,0,1101,0
162,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 380  244 ,19,1101,1035,0,1101,0
163,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 626  700 ,4,1101,1035,0,1101,0
164,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 646  426 ,24,1101,1035,0,1101,0
165,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 535  497 ,3,1101,1035,0,1101,0
166,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 528  195 ,29,1101,1035,0,1101,0
167,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 301  414 ,25,1101,1035,0,1101,0
168,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 728  755 ,25,1101,1035,0,1101,0
169,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 531  302 ,21,1101,1035,0,1101,0
170,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 524  308 ,4,1101,1035,0,1101,0
171,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 92  631 ,5,1101,1035,0,1101,0
172,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 464  57 ,24,1101,1035,0,1101,0
173,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 562  420 ,8,1101,1035,0,1101,0
174,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 251  185 ,23,1101,1035,0,1101,0
175,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 512  680 ,27,1101,1035,0,1101,0
176,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 123  359 ,10,1101,1035,0,1101,0
177,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 140  675 ,21,1101,1035,0,1101,0
178,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 558  401 ,5,1101,1035,0,1101,0
179,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 355  650 ,16,1101,1035,0,1101,0
180,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 745  696 ,13,1101,1035,0,1101,0
181,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 1  517 ,2,1101,1035,0,1101,0
182,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 206  668 ,2,1101,1035,0,1101,0
183,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 503  136 ,16,1101,1035,0,1101,0
184,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 486  221 ,16,1101,1035,0,1101,0
185,encoder.layers.encoder_layer_0.ln_2.weight,444,14,1101,1035,0,1101,0
186,encoder.layers.encoder_layer_0.mlp.0.weight, 683  591 ,15,1101,1035,0,1101,0
187,encoder.layers.encoder_layer_0.mlp.0.weight, 252  305 ,16,1101,1035,0,1101,0
188,encoder.layers.encoder_layer_0.mlp.0.weight, 2500  241 ,4,1101,1035,0,1101,0
189,encoder.layers.encoder_layer_0.mlp.0.weight, 2892  249 ,13,1101,1035,0,1101,0
190,encoder.layers.encoder_layer_0.mlp.0.weight, 3041  198 ,1,1101,1035,0,1101,0
191,encoder.layers.encoder_layer_0.mlp.0.weight, 2184  390 ,12,1101,1035,0,1101,0
192,encoder.layers.encoder_layer_0.mlp.0.weight, 91  312 ,23,1101,1035,0,1101,0
193,encoder.layers.encoder_layer_0.mlp.0.weight, 1020  488 ,16,1101,1035,0,1101,0
194,encoder.layers.encoder_layer_0.mlp.0.weight, 406  521 ,28,1101,1035,0,1101,0
195,encoder.layers.encoder_layer_0.mlp.0.weight, 1849  618 ,17,1101,1035,0,1101,0
196,encoder.layers.encoder_layer_0.mlp.0.weight, 2633  568 ,30,1101,321,0,324,777
197,encoder.layers.encoder_layer_0.mlp.0.weight, 885  676 ,1,1101,1035,0,1101,0
198,encoder.layers.encoder_layer_0.mlp.0.weight, 2776  132 ,20,1101,1035,0,1101,0
199,encoder.layers.encoder_layer_0.mlp.0.weight, 1812  551 ,22,1101,1035,0,1101,0
200,encoder.layers.encoder_layer_0.mlp.0.weight, 248  118 ,16,1101,1035,0,1101,0
201,encoder.layers.encoder_layer_0.mlp.0.weight, 1873  212 ,22,1101,1035,0,1101,0
202,encoder.layers.encoder_layer_0.mlp.0.weight, 988  698 ,2,1101,1035,0,1101,0
203,encoder.layers.encoder_layer_0.mlp.0.weight, 2111  426 ,28,1101,1035,0,1101,0
204,encoder.layers.encoder_layer_0.mlp.0.weight, 1913  213 ,23,1101,1035,0,1101,0
205,encoder.layers.encoder_layer_0.mlp.0.weight, 2669  15 ,0,1101,1035,0,1101,0
206,encoder.layers.encoder_layer_0.mlp.0.weight, 839  680 ,21,1101,1035,0,1101,0
207,encoder.layers.encoder_layer_0.mlp.0.weight, 1582  702 ,29,1101,1035,0,1101,0
208,encoder.layers.encoder_layer_0.mlp.0.weight, 1486  632 ,18,1101,1035,0,1101,0
209,encoder.layers.encoder_layer_0.mlp.0.weight, 1945  164 ,5,1101,1035,0,1101,0
210,encoder.layers.encoder_layer_0.mlp.0.weight, 2900  72 ,25,1101,1035,0,1101,0
211,encoder.layers.encoder_layer_0.mlp.0.weight, 1833  416 ,1,1101,1035,0,1101,0
212,encoder.layers.encoder_layer_0.mlp.0.weight, 788  563 ,1,1101,1035,0,1101,0
213,encoder.layers.encoder_layer_0.mlp.0.weight, 1399  343 ,26,1101,1035,0,1101,0
214,encoder.layers.encoder_layer_0.mlp.0.weight, 1567  6 ,22,1101,1035,0,1101,0
215,encoder.layers.encoder_layer_0.mlp.0.weight, 1037  77 ,3,1101,1035,0,1101,0
216,encoder.layers.encoder_layer_0.mlp.0.weight, 1408  243 ,8,1101,1035,0,1101,0
217,encoder.layers.encoder_layer_0.mlp.0.weight, 3044  477 ,27,1101,1035,0,1101,0
218,encoder.layers.encoder_layer_0.mlp.0.weight, 742  16 ,21,1101,1035,0,1101,0
219,encoder.layers.encoder_layer_0.mlp.0.weight, 438  710 ,23,1101,1035,0,1101,0
220,encoder.layers.encoder_layer_0.mlp.0.weight, 3066  168 ,22,1101,1035,0,1101,0
221,encoder.layers.encoder_layer_0.mlp.0.weight, 2614  516 ,30,1101,41,0,41,1060
222,encoder.layers.encoder_layer_0.mlp.0.weight, 2694  532 ,3,1101,1035,0,1101,0
223,encoder.layers.encoder_layer_0.mlp.0.weight, 2235  540 ,16,1101,1035,0,1101,0
224,encoder.layers.encoder_layer_0.mlp.0.weight, 434  488 ,29,1101,1035,0,1101,0
225,encoder.layers.encoder_layer_0.mlp.0.weight, 2146  335 ,30,1101,628,0,647,454
226,encoder.layers.encoder_layer_0.mlp.0.weight, 236  552 ,3,1101,1035,0,1101,0
227,encoder.layers.encoder_layer_0.mlp.0.weight, 2184  44 ,5,1101,1035,0,1101,0
228,encoder.layers.encoder_layer_0.mlp.0.weight, 1729  581 ,13,1101,1035,0,1101,0
229,encoder.layers.encoder_layer_0.mlp.0.weight, 1954  344 ,2,1101,1035,0,1101,0
230,encoder.layers.encoder_layer_0.mlp.0.weight, 2626  85 ,23,1101,1035,0,1101,0
231,encoder.layers.encoder_layer_0.mlp.0.weight, 1636  69 ,1,1101,1035,0,1101,0
232,encoder.layers.encoder_layer_0.mlp.0.weight, 990  186 ,13,1101,1035,0,1101,0
233,encoder.layers.encoder_layer_0.mlp.0.weight, 335  626 ,5,1101,1035,0,1101,0
234,encoder.layers.encoder_layer_0.mlp.0.weight, 384  31 ,20,1101,1035,0,1101,0
235,encoder.layers.encoder_layer_0.mlp.0.weight, 1974  332 ,24,1101,1035,0,1101,0
236,encoder.layers.encoder_layer_0.mlp.0.weight, 2780  699 ,16,1101,1035,0,1101,0
237,encoder.layers.encoder_layer_0.mlp.0.weight, 1729  238 ,18,1101,1035,0,1101,0
238,encoder.layers.encoder_layer_0.mlp.0.weight, 1572  7 ,13,1101,1035,0,1101,0
239,encoder.layers.encoder_layer_0.mlp.0.weight, 3033  699 ,21,1101,1035,0,1101,0
240,encoder.layers.encoder_layer_0.mlp.0.weight, 2119  663 ,6,1101,1035,0,1101,0
241,encoder.layers.encoder_layer_0.mlp.0.weight, 2537  25 ,18,1101,1035,0,1101,0
242,encoder.layers.encoder_layer_0.mlp.0.weight, 2047  533 ,15,1101,1035,0,1101,0
243,encoder.layers.encoder_layer_0.mlp.0.weight, 1906  141 ,28,1101,1035,0,1101,0
244,encoder.layers.encoder_layer_0.mlp.0.weight, 2794  216 ,29,1101,1035,0,1101,0
245,encoder.layers.encoder_layer_0.mlp.0.weight, 2301  88 ,8,1101,1035,0,1101,0
246,encoder.layers.encoder_layer_0.mlp.0.weight, 1385  76 ,14,1101,1035,0,1101,0
247,encoder.layers.encoder_layer_0.mlp.0.weight, 545  159 ,10,1101,1035,0,1101,0
248,encoder.layers.encoder_layer_0.mlp.0.weight, 1686  611 ,17,1101,1035,0,1101,0
249,encoder.layers.encoder_layer_0.mlp.0.weight, 159  270 ,20,1101,1035,0,1101,0
250,encoder.layers.encoder_layer_0.mlp.0.weight, 2390  687 ,8,1101,1035,0,1101,0
251,encoder.layers.encoder_layer_0.mlp.0.weight, 1842  422 ,0,1101,1035,0,1101,0
252,encoder.layers.encoder_layer_0.mlp.0.weight, 2105  604 ,9,1101,1035,0,1101,0
253,encoder.layers.encoder_layer_0.mlp.0.weight, 1193  515 ,8,1101,1035,0,1101,0
254,encoder.layers.encoder_layer_0.mlp.0.weight, 1526  419 ,25,1101,1035,0,1101,0
255,encoder.layers.encoder_layer_0.mlp.0.weight, 526  88 ,1,1101,1035,0,1101,0
256,encoder.layers.encoder_layer_0.mlp.0.weight, 357  111 ,5,1101,1035,0,1101,0
257,encoder.layers.encoder_layer_0.mlp.0.weight, 2340  662 ,6,1101,1035,0,1101,0
258,encoder.layers.encoder_layer_0.mlp.0.weight, 2350  111 ,17,1101,1035,0,1101,0
259,encoder.layers.encoder_layer_0.mlp.0.weight, 1935  703 ,27,1101,1035,0,1101,0
260,encoder.layers.encoder_layer_0.mlp.0.weight, 1982  197 ,4,1101,1035,0,1101,0
261,encoder.layers.encoder_layer_0.mlp.0.weight, 2307  82 ,7,1101,1035,0,1101,0
262,encoder.layers.encoder_layer_0.mlp.0.weight, 1407  130 ,29,1101,1035,0,1101,0
263,encoder.layers.encoder_layer_0.mlp.0.weight, 2874  723 ,18,1101,1035,0,1101,0
264,encoder.layers.encoder_layer_0.mlp.0.weight, 2793  304 ,7,1101,1035,0,1101,0
265,encoder.layers.encoder_layer_0.mlp.0.weight, 2330  635 ,22,1101,1035,0,1101,0
266,encoder.layers.encoder_layer_0.mlp.0.weight, 1682  189 ,12,1101,1035,0,1101,0
267,encoder.layers.encoder_layer_0.mlp.0.weight, 2050  221 ,9,1101,1035,0,1101,0
268,encoder.layers.encoder_layer_0.mlp.0.weight, 2508  11 ,13,1101,1035,0,1101,0
269,encoder.layers.encoder_layer_0.mlp.0.weight, 2749  683 ,12,1101,1035,0,1101,0
270,encoder.layers.encoder_layer_0.mlp.0.weight, 3054  63 ,14,1101,1035,0,1101,0
271,encoder.layers.encoder_layer_0.mlp.0.weight, 2343  398 ,25,1101,1035,0,1101,0
272,encoder.layers.encoder_layer_0.mlp.0.weight, 159  640 ,16,1101,1035,0,1101,0
273,encoder.layers.encoder_layer_0.mlp.0.weight, 1719  206 ,23,1101,1035,0,1101,0
274,encoder.layers.encoder_layer_0.mlp.0.weight, 1763  405 ,30,1101,279,0,285,816
275,encoder.layers.encoder_layer_0.mlp.0.weight, 265  499 ,17,1101,1035,0,1101,0
276,encoder.layers.encoder_layer_0.mlp.0.weight, 2584  463 ,19,1101,1035,0,1101,0
277,encoder.layers.encoder_layer_0.mlp.0.weight, 1777  39 ,21,1101,1035,0,1101,0
278,encoder.layers.encoder_layer_0.mlp.0.weight, 971  221 ,5,1101,1035,0,1101,0
279,encoder.layers.encoder_layer_0.mlp.0.weight, 1592  262 ,15,1101,1035,0,1101,0
280,encoder.layers.encoder_layer_0.mlp.0.weight, 2666  523 ,20,1101,1035,0,1101,0
281,encoder.layers.encoder_layer_0.mlp.0.weight, 1279  673 ,21,1101,1035,0,1101,0
282,encoder.layers.encoder_layer_0.mlp.0.weight, 1032  373 ,23,1101,1035,0,1101,0
283,encoder.layers.encoder_layer_0.mlp.0.weight, 2176  459 ,1,1101,1035,0,1101,0
284,encoder.layers.encoder_layer_0.mlp.0.weight, 482  762 ,0,1101,1035,0,1101,0
285,encoder.layers.encoder_layer_0.mlp.0.weight, 2534  73 ,27,1101,1035,0,1101,0
286,encoder.layers.encoder_layer_0.mlp.0.weight, 719  247 ,23,1101,1035,0,1101,0
287,encoder.layers.encoder_layer_0.mlp.0.weight, 166  286 ,0,1101,1035,0,1101,0
288,encoder.layers.encoder_layer_0.mlp.0.weight, 2315  174 ,30,1101,41,0,41,1060
289,encoder.layers.encoder_layer_0.mlp.0.weight, 2529  107 ,12,1101,1035,0,1101,0
290,encoder.layers.encoder_layer_0.mlp.0.weight, 2772  319 ,18,1101,1035,0,1101,0
291,encoder.layers.encoder_layer_0.mlp.0.weight, 1149  178 ,12,1101,1035,0,1101,0
292,encoder.layers.encoder_layer_0.mlp.0.weight, 3055  497 ,6,1101,1035,0,1101,0
293,encoder.layers.encoder_layer_0.mlp.0.weight, 1885  346 ,16,1101,1035,0,1101,0
294,encoder.layers.encoder_layer_0.mlp.0.weight, 2746  424 ,10,1101,1035,0,1101,0
295,encoder.layers.encoder_layer_0.mlp.0.weight, 3021  502 ,29,1101,1035,0,1101,0
296,encoder.layers.encoder_layer_0.mlp.0.weight, 1990  159 ,19,1101,1035,0,1101,0
